published_timestamp,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year,months,day,quarter,profit,duration_categroy,price_Cat
2012-12-15 15:22:52+00:00,32649,PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,https://www.udemy.com/learning-php-and-mysql-development-the-easy-way/,True,50,5549,92,143,All Levels,15.5,2012-12-15 15:22:52+00:00,Web Development,2012,December,Saturday,4,277450,30+,20:50
2012-12-24 22:17:59+00:00,32033,Aprende batería con el nuevo método IDT,https://www.udemy.com/idtbateria/,True,20,335,32,25,All Levels,2.0,2012-12-24 22:17:59+00:00,Musical Instruments,2012,December,Monday,4,6700,7:12,20:50
2013-01-03 00:55:31+00:00,28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,True,75,43285,525,24,All Levels,4.0,2013-01-03 00:55:31+00:00,Web Development,2013,January,Thursday,1,3246375,20:30,55:100
2013-01-07 11:44:35+00:00,30243,Mastering HTML5 Programming - The Easier Way,https://www.udemy.com/html5-programming-tutorials/,True,75,21653,138,35,All Levels,7.0,2013-01-07 11:44:35+00:00,Web Development,2013,January,Monday,1,1623975,30+,55:100
2013-01-09 02:57:25+00:00,35131,Introduction to Small Business Accounting Training Tutorial,https://www.udemy.com/introduction-to-small-business-accounting-training-tutorial/,True,25,168,9,75,Beginner Level,3.5,2013-01-09 02:57:25+00:00,Business Finance,2013,January,Wednesday,1,4200,12:20,20:50
2013-01-15 02:01:23+00:00,32908,Finance and Accounting for Startups,https://www.udemy.com/finance-and-accounting-for-startups/,True,50,1175,92,75,All Levels,12.5,2013-01-15 02:01:23+00:00,Business Finance,2013,January,Tuesday,1,58750,30+,20:50
2013-01-24 18:40:06+00:00,37821,Quick and Quirky Caricatures - Learn in an Hour!,https://www.udemy.com/quick-and-quirky-caricatures/,True,20,139,14,9,Beginner Level,1.5,2013-01-24 18:40:06+00:00,Graphic Design,2013,January,Thursday,1,2780,3:7,20:50
2013-01-31 13:44:52+00:00,34882,Creating an MP3 Player with HTML5,https://www.udemy.com/creating-an-mp3-player-with-html5/,True,20,14551,169,14,All Levels,1.5,2013-01-31 13:44:52+00:00,Web Development,2013,January,Thursday,1,291020,3:7,20:50
2013-02-07 19:50:45+00:00,40039,Comprehensive Forex Mastery Program,https://www.udemy.com/forex-mastery/,True,45,650,107,97,All Levels,10.0,2013-02-07 19:50:45+00:00,Business Finance,2013,February,Thursday,1,29250,30+,20:50
2013-02-14 07:03:41+00:00,41295,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,False,0,268923,8629,45,All Levels,10.5,2013-02-14 07:03:41+00:00,Web Development,2013,February,Thursday,1,0,30+,Free
2013-02-15 20:43:11+00:00,41145,Learn Call Options and Put Options - Introduction to Options,https://www.udemy.com/learn-options-trading-introduction-call-put-options/,True,60,1017,74,20,Beginner Level,3.0,2013-02-15 20:43:11+00:00,Business Finance,2013,February,Friday,1,61020,12:20,55:100
2013-02-16 00:06:30+00:00,31150,Advance Design of Logos and Brand Identity   ,https://www.udemy.com/advance-design-of-logos-and-brand-identity/,True,20,34,4,38,All Levels,2.0,2013-02-16 00:06:30+00:00,Graphic Design,2013,February,Saturday,1,680,7:12,20:50
2013-02-16 16:08:05+00:00,41973,"Silver, Gold, and Inflation",https://www.udemy.com/got-gold-get-gold-inflation/,False,0,5597,76,11,Beginner Level,1.0,2013-02-16 16:08:05+00:00,Business Finance,2013,February,Saturday,1,0,0:3,Free
2013-02-17 01:48:33+00:00,41961,"Options Foundation - Time Decay, Implied Volatility, Greeks",https://www.udemy.com/learn-options-trading/,True,60,459,25,14,Beginner Level,3.0,2013-02-17 01:48:33+00:00,Business Finance,2013,February,Sunday,1,27540,12:20,55:100
2013-02-18 10:54:27+00:00,42040,Buying Call and Put Options - Options beginner strategies,https://www.udemy.com/buy-call-options-buy-put-options-trading-strategies/,True,60,266,20,14,Intermediate Level,3.0,2013-02-18 10:54:27+00:00,Business Finance,2013,February,Monday,1,15960,12:20,55:100
2013-02-18 20:31:06+00:00,40495,World's Fastest Piano Method - The Piano Revolution!,https://www.udemy.com/decplay-the-fastest-way-to-learn-piano/,True,95,1199,58,31,Beginner Level,2.0,2013-02-18 20:31:06+00:00,Musical Instruments,2013,February,Monday,1,113905,7:12,55:100
2013-02-19 15:04:46+00:00,42197,Options Spreads Bundle-  the heart of Options Trading,https://www.udemy.com/options-spreads-explained/,True,120,623,43,8,Intermediate Level,2.5,2013-02-19 15:04:46+00:00,Business Finance,2013,February,Tuesday,1,74760,12:20,105:150
2013-02-22 18:19:38+00:00,34332,Aprende a tocar la guitarra,https://www.udemy.com/aprende-a-tocar-la-guitarra/,True,50,7,1,25,All Levels,1.5,2013-02-22 18:19:38+00:00,Musical Instruments,2013,February,Friday,1,350,3:7,20:50
